method,config,T0,T1,branch,arm,severity,n_pairs,delta_coverage_siv_minus_tsls,mcse_delta_coverage,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_bias_siv_minus_tsls,mcse_delta_abs_bias,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,mcse_delta_rmse
ARIMA-Z,longer_length,30,60,Aggregate Shock,B_SIV_targeted,1.4,1000,0.213,0.016730538273197034,0.0016903994877066413,0.003783698220473971,0.0020932987327673294,0.0004982290186758028,0.004393913212210568,0.0003395377031273189,0.009297966585664398,0.015379780689631134,0.006081814103966736,0.0004452701379976797
ARIMA-Z,longer_length,30,60,Aggregate Shock,B_SIV_targeted,2.0,1000,0.384,0.018732188737435224,0.002339613492403796,0.004970451626081627,0.0026308381336778313,0.0005607214846577881,0.0021868770546948353,0.00037098105209172415,0.012007722544261985,0.0161211247117598,0.004113402167497816,0.00048506803831794887
ARIMA-Z,longer_length,30,60,Aggregate Shock,C_random_geometry,0.0,1000,0.015,0.010624871193943381,0.00017556681007995523,0.0005903895389181333,0.00041482272883817804,0.00042985251666473925,0.006948957409688337,0.00028263847225592175,0.005502001326288576,0.014385384718624905,0.008883383392336328,0.00037510032782128873
ARIMA-Z,longer_length,30,60,Aggregate Shock,C_random_geometry,0.6,1000,0.051,0.012351176120173798,0.003314644892366591,0.0005945699332266321,-0.0027200749591399587,0.0004315805228799386,0.006148613022942097,0.0002917256254890359,0.0064445374682962865,0.01442046623390323,0.007975928765606943,0.0003801270186061789
ARIMA-Z,longer_length,30,60,Aggregate Shock,C_random_geometry,1.4,1000,0.254,0.016178558209733827,0.007500082335415449,0.0006046156470369595,-0.00689546668837849,0.000436846071594929,0.003483949501905314,0.00031552467268639847,0.0094404654835992,0.014490898435154737,0.005050432951555538,0.00039308457163049455
ARIMA-Z,longer_length,30,60,Aggregate Shock,C_random_geometry,2.0,1000,0.464,0.017464507121845985,0.01063916041770212,0.0006159280380433148,-0.010023232379658803,0.0004422966389279562,0.0007173393266915511,0.00033035017074808823,0.012216702992680338,0.014538789341371294,0.0023220863486909556,0.0004014658635292579
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.0,1000,0.002,0.010493145672585802,0.001998121595061845,0.00122464825882681,-0.0007734733362350348,0.0008792248550103327,0.003211658866610185,0.0005743599661827676,0.01791922337839224,0.022686522182612672,0.004767298804220433,0.000729275133962882
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.6,1000,0.084,0.01330868592766097,0.012657839173570643,0.0012793005458143602,-0.011378538627756282,0.0008794534962142934,0.00015868090131205558,0.0006086304741838171,0.021671490364485617,0.02282746137244624,0.001155971007960624,0.0007640453938582994
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,1.4,1000,0.281,0.01692115023647404,0.02687079594491575,0.0013528720204527825,-0.025517923924462966,0.00089173670275416,-0.010149201634871612,0.0006829409237951112,0.032292659013126376,0.02302436794688268,-0.009268291066243696,0.0008023528024072861
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,2.0,1000,0.502,0.0176722468381445,0.03753051352342455,0.0014085129204731708,-0.03612200060295137,0.0009096271184880711,-0.019935914056339384,0.0007256257320356752,0.04188083565647736,0.023178741523981514,-0.018702094132495843,0.0008266896113863475
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.0,1000,0.002,0.010493145672585802,0.001998121595061845,0.00122464825882681,-0.0007734733362350348,0.0008792248550103327,0.003211658866610185,0.0005743599661827676,0.01791922337839224,0.022686522182612672,0.004767298804220433,0.000729275133962882
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.6,1000,0.026,0.013018966683016494,0.0028994110726131474,0.00990527988739275,0.007005868814779605,0.0009299292873298564,0.0036397689926813853,0.0006150960041861152,0.020242258572855658,0.02509775775272607,0.004855499179870413,0.0007529991111773189
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,1.4,1000,0.086,0.017689457790359683,0.004101130376014901,0.017864159199066254,0.013763028823051353,0.0011482254304895506,0.001104552638835362,0.0007489545224833596,0.02815774347280614,0.030204257309339427,0.002046513836533287,0.0008439840855388903
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,2.0,1000,0.176,0.020035603944613834,0.005002419853566199,0.02109820406191107,0.016095784208344868,0.0013752720119481114,-0.0033615087303347424,0.0008603849283703856,0.03576132379903937,0.03317018870059165,-0.0025911350984477166,0.0009347203780203816
