config,T0,T1,branch,arm,severity,attempted_cells,retained_cells,excluded_cells,cap_bound_cells,mean_K,mean_q_w_rank1_trace_share,mean_q_w_rank2_trace_share,mean_achieved_max_kappa,mean_direction_corr_tsls,mean_direction_corr_siv,mean_lambda_tsls,mean_lambda_siv,mean_kappa_tsls,mean_kappa_siv
longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.6,1000,1000,0,0,2705.65110725238,0.8213746828091644,0.8400352191077678,0.5999999999999998,-0.5564620334996982,-0.0005453903620573473,-0.012898416154709467,-4.8506119956643996e-05,2705.65110725238,47.97899941833694
longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,1.4,1000,1000,0,0,2705.65110725238,0.8213746828091644,0.8400352191077678,1.3999999999999997,-0.5564620334996982,-0.0005453903620573473,-0.012898416154709467,-4.8506119956643996e-05,2705.65110725238,47.97899941833694
longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,2.0,1000,1000,0,0,2705.65110725238,0.8213746828091644,0.8400352191077678,2.0,-0.5564620334996982,-0.0005453903620573473,-0.012898416154709467,-4.8506119956643996e-05,2705.65110725238,47.97899941833694
longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.0,1000,1000,0,0,2739.917627953816,0.8213746828091644,0.8400352191077678,0.0,-0.06222470417275197,-0.12342499283931214,-0.0014490356266331301,-0.011264177895373779,1975.927762592701,1985.3197434451436
longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.6,1000,1000,0,0,2739.917627953816,0.8213746828091644,0.8400352191077678,0.5999999999999998,-0.06222470417275197,-0.12342499283931214,-0.0014490356266331301,-0.011264177895373779,1975.927762592701,1985.3197434451436
longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,1.4,1000,1000,0,0,2739.917627953816,0.8213746828091644,0.8400352191077678,1.3999999999999997,-0.06222470417275197,-0.12342499283931214,-0.0014490356266331301,-0.011264177895373779,1975.927762592701,1985.3197434451436
longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,2.0,1000,1000,0,0,2739.917627953816,0.8213746828091644,0.8400352191077678,2.0,-0.06222470417275197,-0.12342499283931214,-0.0014490356266331301,-0.011264177895373779,1975.927762592701,1985.3197434451436
longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.0,1000,1000,0,0,2601.2465078147234,0.8213746828091644,0.8400352191077678,0.0,-0.5344828924047278,-0.0002614707336180306,-0.012387102947822193,-2.3329487933134516e-05,2600.399770564325,81.58352720123563
longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.6,1000,1000,0,0,2601.2465078147234,0.8213746828091644,0.8400352191077678,0.5999999999999998,-0.5344828924047278,-0.0002614707336180306,-0.012387102947822193,-2.3329487933134516e-05,2600.399770564325,81.58352720123563
longer_length,30,60,GFE + Agg. Shock,C_random_geometry,1.4,1000,1000,0,0,2601.2465078147234,0.8213746828091644,0.8400352191077678,1.3999999999999997,-0.5344828924047278,-0.0002614707336180306,-0.012387102947822193,-2.3329487933134516e-05,2600.399770564325,81.58352720123563
longer_length,30,60,GFE + Agg. Shock,C_random_geometry,2.0,1000,1000,0,0,2601.2465078147234,0.8213746828091644,0.8400352191077678,2.0,-0.5344828924047278,-0.0002614707336180306,-0.012387102947822193,-2.3329487933134516e-05,2600.399770564325,81.58352720123563
