anchor_mode,target_role,tau_true,config,T0,T1,branch,estimator,method,n,coverage,coverage_mcse,mean_bias,absolute_bias,mean_abs_error,rmse,mean_se,sd_error,mean_weight_corr,mean_weight_max_abs
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,SIV,ARIMA-Z,1000,0.886,0.010050074626588601,-7.71607545902775e-06,7.71607545902775e-06,0.04963092437578516,0.09045544615734459,0.056289285678960355,0.09050070750024272,0.9338499234858268,0.12737434037130246
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,SIV,HAC,1000,0.786,0.012969348480166612,-7.71607545902775e-06,7.71607545902775e-06,0.04963092437578516,0.09045544615734459,0.04316671003248965,0.09050070750024272,0.9338499234858268,0.12737434037130246
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,TSLS,AR,1000,0.811,0.012380589646701,,,,,,,0.9338499234858268,0.12383635155781915
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,TSLS,ARIMA-Z,1000,0.849,0.01132249972400088,0.019795946262067324,0.019795946262067324,0.3729980424998014,0.5664456330069618,0.3748405361545793,0.5663828786514266,0.9338499234858268,0.12383635155781915
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,TSLS,HAC,1000,0.802,0.012601428490452976,0.019795946262067324,0.019795946262067324,0.3729980424998014,0.5664456330069618,0.30792893573827806,0.5663828786514266,0.9338499234858268,0.12383635155781915
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,SIV,AR,1000,0.716,0.014259873772232349,,,,,,,0.7466116697819634,0.11732995101834336
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,SIV,ARIMA-Z,1000,0.808,0.01245536029185828,0.06117376984031758,0.06117376984031758,0.14560991679337554,0.24729904304740666,0.12898462028912958,0.23973330731110615,0.7466116697819634,0.11732995101834336
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,SIV,HAC,1000,0.683,0.014714312760030622,0.06117376984031758,0.06117376984031758,0.14560991679337554,0.24729904304740666,0.09782722995553755,0.23973330731110615,0.7466116697819634,0.11732995101834336
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,TSLS,AR,1000,0.564,0.015681326474504636,,,,,,,0.7466116697819634,0.0779577528344372
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,TSLS,ARIMA-Z,1000,0.636,0.015215255502291114,0.8799979008763774,0.8799979008763774,1.1606372757071213,9.585562683232665,162.87398042994948,9.549859447347897,0.7466116697819634,0.0779577528344372
