sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.25,3.0,AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.699,nan,nan,nan,nan,nan,0.7682398441448426,0.0036658634777357547,0.13005264407158107,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,Aggregate Shock,SIV,1000,0.86,0.004971120573520224,0.03542792312111898,0.055560730646613175,0.03574990734547896,0.05536558586637869,0.7660321753722835,0.003629978639745202,0.0049711205735202295,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,Aggregate Shock,TSLS,1000,0.757,0.25213458026907903,0.8166777675064223,3.709684579034828,13.991030270575788,3.7029582402574337,0.7660321753722835,0.256192485937773,0.2521345802690779,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,Basic,SIV,1000,0.902,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.020860600571561094,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,Basic,TSLS,1000,0.9,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.019240458924124126,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,GFE,SIV,1000,0.884,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.056263926913116394,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,GFE,TSLS,1000,0.849,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.37484053615457924,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.851,0.02196305123219336,0.13127113031852558,0.23698386846555325,0.13336499057867518,0.23608200483407704,0.7682398441448426,0.028304876881640257,0.021963051232193373,2.306004135204166
restricted,49,0.25,3.0,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.796,0.13005264407156178,2.1753368657961305,26.414329071457537,749.9126864782796,26.4272258262173,0.7682398441448426,0.0036658634777357547,0.13005264407158107,2.306004135204166
restricted,49,0.25,3.0,HAC,finite_length,5,10,Aggregate Shock,SIV,1000,0.75,0.004971120573520224,0.03542792312111898,0.055560730646613175,0.028201995138381064,0.05536558586637869,0.7660321753722835,0.003629978639745202,0.0049711205735202295,1.9599639845400536
